date,title,source,contents,link
2일 전,"클린스만 작별 인사? ""13경기 무패 놀라운 여정""…SNS 올린 글 보니",머니투데이언론사 선정,"위르겐 클린스만 대한민국 축구대표팀 감독(62)이 경질을 암시하는 듯한 말을 자신의 SNS(소셜네트워크서비스)에 올려 화제다. 16일 오후 클린스만 감독은 자신의 SNS에 대표팀 사진과 함께 ""모든 선수와 코치진 그리고 한국 축구 팬들에게 진심으로 감사하다""는 글을 작성했다. 이어 그는 ""아시안컵 준결승까지...",http://news.mt.co.kr/mtview.php?no=2024021613234259736
1일 전,"[단독] ""클린스만 후임은 국내 지도자…2월 안에 뽑는다""",MBN,"성난 여론에 못 이겨 축구협회가 결국 클린스만 감독을 경질했지만, 문제는 태국과의 월드컵 2차 예선 경기가 한 달여 밖에 안 남았다는 겁니다. 감독에... 【 기자 】 클린스만 감독 경질을 발표한 정몽규 대한축구협회장은 차기 감독에 대해 ""국적 등에 대해 상의한 바가 없다""며 모든 가능성을 열어두고...",http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5003668
2일 전,8년 전에도 위약금 64억원 ‘먹튀’... “투자는 클린스만처럼” 조롱까지,조선일보언론사 선정,위르겐 클린스만 한국 축구 국가대표팀 감독이 선임 1년만에 경질되면서 대한축구협회가 지불해야 할 위약금 액수에도 관심이 쏠리고 있다. 8년 전... 16일 축구계 등에 따르면 지난해 2월 말 한국 대표팀 지휘봉을 잡은 클린스만 감독의 계약 기간은 2026년 6∼7월 예정된 북중미 월드컵 본선까지로...,https://www.chosun.com/international/international_general/2024/02/16/HGUPWKKFHVCR7HVHS25KQDH44E/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
2일 전,경질 위기 클린스만 끝까지 남탓만했다,주간조선언론사 선정,사실상 경질이 결정된 위르겐 클린스만 한국 축구대표팀 감독이 마지막 순간까지 2023 아시아축구연맹(AFC) 아시안컵 준결승전 패배의 주요 원인으로... 황보관 대한축구협회 기술본부장은 클린스만 감독이 전력강화위원들과의 질의응답에서 아시안컵에서 보인 저조한 경기력의 원인으로 선수단 내부 문제를...,http://weekly.chosun.com/news/articleView.html?idxno=32386
2일 전,"혼란의 축구 대표팀, 홍명보가 정리하나? 클린스만 후임 유력 거론",머니투데이언론사 선정,"위르겐 클린스만 축구대표팀 감독의 경질이 유력해짐에 따라 차기 감독 후보로 홍명보 울산 HD 감독, 황선홍 올림픽 축구대표팀 감독, 최용수 전 강원 FC 감독 등이 차기 수장으로 거론되고 있다. 16일 뉴스1에 따르면 대한축구협회(KFA)는 이날 오전 10시부터 서울 종로구의 축구회관에서 클린스만 감독 경질을...",http://news.mt.co.kr/mtview.php?no=2024021609591659656
2일 전,"클린스만 감독 ""지난 여정에 감사하다"" 사퇴 암시",MBC언론사 선정,"클린스만 감독의 거취를 논의하는 대한축구협회 임원회의 결과 발표를 앞두고 미국 자택에 머물고 있는 클린스만 감독이 자신의 SNS에 사퇴를 암시하는 메시지를 남겼습니다. 클린스만 감독은 자신의 SNS에 ""모든 선수들, 스태프와 한국 축구팬들께 진심으로 감사하다""며 ""아시안컵 준결승에 진출했고 지난 1년...",https://imnews.imbc.com/news/2024/society/article/6571759_36438.html
2일 전,"'사실상 경질' 클린스만 ""선수단 불화가 패인""",MBC언론사 선정,"◀ 앵커 ▶ 사퇴 요구가 끊이지 않았던 축구 대표팀의 클린스만 감독이, 사실상 경질 수순을 밟게 됐습니다. 축구 협회의 전력 강화 위원회가 감독 경질로 의견을 모았고, 이를 보고받은 정몽규 회장이 빠르면 내일 최종 결정을 발표할 예정인데요. 오늘 회의에 화상으로 참석한 클린스만 감독은, 선수들의 불화가...",https://imnews.imbc.com/replay/2024/nwdesk/article/6571543_36515.html
2일 전,"클린스만 경질, 내일 오전에 결판난다…정몽규 입장표명은 미정",매일경제언론사 선정,위르겐 클린스만(독일) 축구 국가대표팀 감독의 경질 여부가 내일인 16일 오전 대한축구협회 임원회의에서 판가름날 전망이다. 클린스만 감독과 함께 사퇴 압박을 받고 있는 정몽규 대한축구협회장이 입장을 내놓을지도 주목된다. 15일 축구협회는 16일 오전 10시부터 서울 종로구 축구회관에서 정몽규 회장 및...,https://www.mk.co.kr/article/10943885
3일 전,"5시간 회의 끝에... 클린스만은 '선수 탓', 축구협은 '클린스만 탓'",오마이뉴스언론사 선정,"축구협회 전력강화위 ""클린스만 경질 건의""... 아침부터 축구팬 시위, 축협은 여전히 '회피' ▲ 황보관 대한축구협회 기술본부장이 15일 오후 서울 종로구 축구회관에서 국가대표 전력강화위원회 회의 결과를 설명하고 있다. ⓒ 권우성 클린스만 감독은 선수들을, 대한축구협회(축구협회)는 클린스만 감독을...",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003002419&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
2일 전,"축구협회, 클린스만 감독 경질",뉴스1,정몽규 대한축구협회장이 16일 오후 서울 종로구 축구회관에서 위르겐 클린스만 축구대표팀 감독의 거취 관련 발표를 하기 위해 입장하고 있다. 축구협회는 이날 오전 긴급 임원회의를 가진 뒤 클린스만 감독에게 전화를 걸어 경질을 통보했다고 밝혔다. 2024.2.16/뉴스1,https://www.news1.kr/photos/view/?6485041
